id_analisi,num_iscritti_m,num_iscritti_f,cod_facolta,cod_anno
1,23013,22157,1,2
2,61285,167884,2,2
3,163468,200277,3,2
4,6678,76731,4,2
5,202118,85915,5,2
6,83191,155863,6,2
7,21274,3235,7,2
8,54973,77135,8,2
9,23064,17604,9,2
10,96839,150445,10,2
11,23414,22594,1,3
12,61334,166064,2,3
13,157684,190803,3,3
14,6330,75155,4,3
15,198996,84948,5,3
16,85970,159171,6,3
17,21994,3287,7,3
18,54787,74767,8,3
19,23886,17292,9,3
20,94339,145895,10,3
21,24398,23047,1,4
22,61698,164603,2,4
23,154063,182548,3,4
24,6400,75071,4,4
25,198904,83647,5,4
26,84457,156929,6,4
27,23195,3389,7,4
28,56213,75573,8,4
29,24639,17207,9,4
30,94193,143267,10,4
31,24748,23089,1,5
32,63566,166338,2,5
33,153813,177731,3,5
34,6836,78270,4,5
35,201756,83290,5,5
36,83006,155580,6,5
37,24978,3761,7,5
38,58685,77705,8,5
39,27175,17840,9,5
40,96739,143770,10,5
41,24829,22909,1,6
42,65507,170704,2,6
43,155483,174315,3,6
44,7511,83885,4,6
45,204374,83120,5,6
46,80898,153288,6,6
47,27112,4051,7,6
48,61179,81168,8,6
49,29924,19165,9,6
50,100265,147356,10,6
51,24428,22492,1,7
52,66493,173633,2,7
53,155448,171660,3,7
54,7877,88914,4,7
55,205919,83005,5,7
56,79141,154093,6,7
57,28723,4336,7,7
58,63031,83914,8,7
59,33127,20676,9,7
60,102964,152174,10,7
61,23813,21932,1,1
62,68532,177797,2,1
63,156612,171865,3,1
64,8490,97119,4,1
65,209229,83964,5,1
66,78768,156115,6,1
67,30433,4783,7,1
68,65118,86004,8,1
69,37196,22371,9,1
70,105296,159195,10,1
71,23110,21472,1,8
72,72297,187309,2,8
73,162678,175914,3,8
74,9221,106619,4,8
75,212980,84961,5,8
76,79626,160570,6,8
77,32293,5273,7,8
78,67029,90437,8,8
79,41737,24487,9,8
80,110196,173131,10,8
81,21588,20497,1,9
82,72949,188845,2,9
83,162754,176667,3,9
84,9032,109845,4,9
85,212875,85970,5,9
86,81410,165404,6,9
87,33859,5832,7,9
88,67199,91007,8,9
89,42347,24263,9,9
90,109379,180870,10,9
91,20358,19966,1,10
92,73811,188687,2,10
93,164620,178925,3,10
94,9232,115090,4,10
95,214622,88062,5,10
96,83957,171574,6,10
97,36409,6812,7,10
98,67501,90966,8,10
99,46447,25918,9,10
100,110711,190122,10,10
101,19573,20180,1,11
102,75212,188010,2,11
103,167305,182560,3,11
104,9479,122234,4,11
105,219036,92224,5,11
106,88239,181798,6,11
107,40023,8029,7,11
108,67929,90472,8,11
109,51285,27776,9,11
110,110566,198891,10,11
